0.5 0.5 0.5 0.5
secondly 0.333 0.667 0.167 0.833
foul 0.375 0.625 0.125 0.875
four 0.569 0.431 0.448 0.552
asian 0.600 0.400 0.800 0.200
6pm 0.833 0.167 0.333 0.667
pack 0.400 0.600 0.300 0.700
fronts 0.500 0.500 0.500 0.500
aug 0.750 0.250 0.750 0.250
remodeled 0.429 0.571 0.571 0.429
contained 0.500 0.500 0.500 0.500
sorry 0.455 0.545 0.091 0.909
updated 0.800 0.200 0.467 0.533
point 0.380 0.620 0.240 0.760
yellow 0.200 0.800 0.100 0.900
screaming 0.500 0.500 0.250 0.750
vast 0.250 0.750 0.750 0.250
disturb 0.615 0.385 0.154 0.846
facilities 0.421 0.579 0.684 0.316
wooden 0.500 0.500 0.500 0.500
clientele 0.800 0.200 0.200 0.800
solution 0.250 0.750 0.250 0.750
heading 0.500 0.500 0.667 0.333
clothes 0.583 0.417 0.167 0.833
tired 0.277 0.723 0.319 0.681
elegant 0.255 0.745 0.787 0.213
second 0.721 0.279 0.279 0.721
errors 0.333 0.667 0.167 0.833
preferences 0.600 0.400 0.400 0.600
hate 0.429 0.571 0.286 0.714
cooking 0.500 0.500 0.500 0.500
contributed 0.500 0.500 0.500 0.500
lights 0.444 0.556 0.333 0.667
new 0.504 0.496 0.330 0.670
tips 0.375 0.625 0.375 0.625
join 0.500 0.500 0.750 0.250
met 0.364 0.636 0.576 0.424
china 0.500 0.500 0.750 0.250
100 0.667 0.333 0.333 0.667
buddy 0.750 0.250 0.750 0.250
dry 0.364 0.636 0.455 0.545
kids 0.320 0.680 0.520 0.480
bedding 0.357 0.643 0.429 0.571
elaborate 0.250 0.750 0.750 0.250
unfriendly 0.350 0.650 0.050 0.950
credit 0.723 0.277 0.085 0.915
california 0.571 0.429 0.429 0.571
suitable 0.250 0.750 0.250 0.750
cancellation 0.667 0.333 0.083 0.917
golden 0.750 0.250 0.750 0.250
fantastic 0.432 0.568 0.946 0.054
bookit 0.833 0.167 0.167 0.833
explained 0.615 0.385 0.077 0.923
replace 0.800 0.200 0.200 0.800
brought 0.477 0.523 0.341 0.659
guests 0.500 0.500 0.337 0.663
unit 0.455 0.545 0.182 0.818
hoping 0.333 0.667 0.056 0.944
dna 0.500 0.500 0.250 0.750
spoke 0.733 0.267 0.200 0.800
neighbours 0.750 0.250 0.500 0.500
call 0.698 0.302 0.121 0.879
strike 0.600 0.400 0.200 0.800
type 0.448 0.552 0.448 0.552
until 0.519 0.481 0.160 0.840
holy 0.750 0.250 0.250 0.750
relax 0.133 0.867 0.667 0.333
99 0.833 0.167 0.500 0.500
glass 0.593 0.407 0.296 0.704
warm 0.510 0.490 0.551 0.449
adult 0.667 0.333 0.333 0.667
90 0.600 0.400 0.200 0.800
hold 0.700 0.300 0.050 0.950
95 0.667 0.333 0.333 0.667
circumstances 0.833 0.167 0.167 0.833
tastefully 0.750 0.250 0.875 0.125
locked 0.700 0.300 0.200 0.800
roof 0.786 0.214 0.429 0.571
locker 0.750 0.250 0.250 0.750
kiehl 0.500 0.500 0.750 0.250
example 0.500 0.500 0.375 0.625
wand 0.750 0.250 0.750 0.250
give 0.446 0.554 0.392 0.608
organized 0.200 0.800 0.400 0.600
bellman 0.733 0.267 0.267 0.733
currency 0.250 0.750 0.750 0.250
foods 0.600 0.400 0.600 0.400
reviewing 0.500 0.500 0.500 0.500
honest 0.250 0.750 0.750 0.250
absolute 0.375 0.625 0.500 0.500
knows 0.286 0.714 0.286 0.714
groaned 0.250 0.750 0.250 0.750
complaining 0.417 0.583 0.083 0.917
travel 0.548 0.452 0.507 0.493
damage 0.600 0.400 0.200 0.800
revisit 0.200 0.800 0.400 0.600
machine 0.706 0.294 0.353 0.647
how 0.402 0.598 0.377 0.623
amazing 0.263 0.737 0.879 0.121
bathrobes 0.500 0.500 0.900 0.100
hop 0.500 0.500 0.333 0.667
answer 0.538 0.462 0.077 0.923
untill 0.750 0.250 0.250 0.750
briefcase 0.250 0.750 0.250 0.750
beauty 0.250 0.750 0.750 0.250
cuisine 0.125 0.875 0.500 0.500
glamorous 0.500 0.500 0.250 0.750
loyalty 0.857 0.143 0.714 0.286
wrong 0.346 0.654 0.096 0.904
